OS: Mac OS X, Memory: 260.0 mb, CPU Cores: 8 

 Insertion Sort Test: 

id		n		ms
1		5000		10
2		15000		39
3		25000		98
4		35000		197
5		45000		312
6		55000		450
7		65000		663
8		75000		886
9		85000		1109
10		95000		1375
11		105000		1715
12		115000		2071
13		125000		2405
14		135000		2888
15		145000		3218
16		155000		3558
17		165000		3941
18		175000		4455
19		185000		5019
20		195000		5848
21		205000		6420
22		215000		6695
23		225000		7385
24		235000		8089
25		245000		8730
26		255000		9546
27		265000		10812
28		275000		11030
29		285000		11871
30		295000		12849
31		305000		13412
32		315000		14942
33		325000		15549
34		335000		16284
35		345000		17314
36		355000		18557
37		365000		19643
38		375000		22170
39		385000		22392
40		395000		22741
41		405000		24105
42		415000		25070
43		425000		28190
44		435000		30000
45		445000		31158
46		455000		33479
47		465000		34447
48		475000		35842
49		485000		38009
50		495000		39083

 Merge Sort Test: 

id		n		ms
1		5000		2
2		15000		3
3		25000		6
4		35000		7
5		45000		5
6		55000		6
7		65000		7
8		75000		10
9		85000		12
10		95000		14
11		105000		15
12		115000		11
13		125000		14
14		135000		14
15		145000		17
16		155000		22
17		165000		24
18		175000		26
19		185000		28
20		195000		26
21		205000		22
22		215000		22
23		225000		24
24		235000		24
25		245000		26
26		255000		28
27		265000		27
28		275000		29
29		285000		30
30		295000		33
31		305000		33
32		315000		32
33		325000		33
34		335000		34
35		345000		36
36		355000		37
37		365000		37
38		375000		38
39		385000		42
40		395000		40
41		405000		41
42		415000		46
43		425000		44
44		435000		45
45		445000		47
46		455000		46
47		465000		49
48		475000		50
49		485000		50
50		495000		51

 Java Sort Test: 

id		n		ms
1		5000		8
2		15000		2
3		25000		3
4		35000		4
5		45000		5
6		55000		6
7		65000		7
8		75000		8
9		85000		9
10		95000		9
11		105000		11
12		115000		12
13		125000		15
14		135000		15
15		145000		16
16		155000		37
17		165000		36
18		175000		25
19		185000		19
20		195000		17
21		205000		11
22		215000		12
23		225000		12
24		235000		13
25		245000		13
26		255000		14
27		265000		15
28		275000		15
29		285000		16
30		295000		16
31		305000		16
32		315000		17
33		325000		17
34		335000		18
35		345000		18
36		355000		19
37		365000		19
38		375000		21
39		385000		21
40		395000		21
41		405000		21
42		415000		23
43		425000		22
44		435000		23
45		445000		23
46		455000		24
47		465000		24
48		475000		24
49		485000		25
50		495000		25

average time and n for Insertion-Sort: 


	12721 ms		250000


average time and n for Merge-Sort: 


	27 ms		250000


average time and n for Java-Sort: 


	16 ms		250000


